generation,population_size,best_total_fitness,avg_total_fitness,best_trace_score,avg_trace_score,best_overlap_score,avg_overlap_score,best_trace_length_mm,avg_trace_length_mm,best_overlap_penalty,avg_overlap_penalty,min_overlap_penalty,feasible_count,infeasible_count,feasible_ratio,diversity_all_mm,diversity_feasible_mm,diversity_infeasible_mm,trace_weight,overlap_weight,mutation_rate,sigma_xy_mm
0,50,0.8766870753758647,0.6566465472874263,0.8187550532812223,0.5587944737166395,0.9474928801582051,0.7762435260961658,1316.4080475142086,1647.4320126534026,0.08532406974291666,0.36360427009373053,0.0,24,26,0.48,77.75183996720624,78.49515540276893,77.29774319192205,0.55,0.45,0.65,25.0
1,50,0.9229356808615647,0.6443939268022413,1.0,0.47119876770263003,0.8294282444921752,0.8545435200258066,929.0946915954572,1616.168240161446,0.2819772748112,0.24045846104263957,0.0,31,19,0.62,79.84271329085772,80.16482375244216,80.7729846460992,0.5482,0.45180000000000003,0.64812,24.916
2,50,0.9364190919036591,0.6604288553547383,0.9596876760095286,0.4800124764856747,0.9083900920018798,0.8777558161441041,975.0978670342446,1522.4883464952418,0.18272810363213998,0.24383222714845287,0.0,27,23,0.54,76.72794350106649,75.07587527411692,78.61218248159825,0.5464,0.4536,0.64624,24.831999999999997
3,50,0.9611004059207181,0.7285137868247556,1.0,0.6490210271442879,0.9145814798434742,0.8235769333376733,975.0978670342446,1382.8728064925372,0.18272810363213998,0.37740588749488757,0.0,22,28,0.44,73.76742231244616,78.02576726559867,70.67765396189738,0.5446,0.4554,0.64436,24.747999999999998
4,50,0.9105379010753265,0.6655951942793626,0.8901326285057671,0.5513468275006883,0.9347635833823189,0.801233893945733,975.0978670342446,1371.3524531424443,0.18272810363213998,0.5567466073205061,0.0,17,33,0.34,74.14396289498244,79.0293015143399,71.15936434833077,0.5428,0.4572,0.64248,24.663999999999998
5,50,1.0,0.6776420845158565,1.0,0.5801023951926986,1.0,0.792607164959927,938.3603393285107,1405.0791017359816,0.0,0.29401731228912165,0.0,23,27,0.46,74.31920413836036,77.08679434350424,73.15044293649429,0.5409999999999999,0.459,0.6406000000000001,24.58
6,50,0.9965436753132373,0.667268928497963,0.9935899022871612,0.5313736289492472,1.0,0.8262853033171201,938.3603393285107,1382.2241705620397,0.0,0.41424868047020197,0.0,23,27,0.46,70.82809723359695,70.59764726856422,71.45113083744516,0.5392,0.4608,0.6387200000000001,24.496
7,50,1.0,0.6288999604455136,1.0,0.5272079483641525,1.0,0.7470350388988716,938.3603393285107,1431.3600485091395,0.0,0.5199266316030827,0.0,18,32,0.36,71.82088050918529,73.40475782387718,71.18289431707944,0.5374,0.4626,0.6368400000000001,24.412
8,50,0.994360494956988,0.6529747654154495,0.9894706776642793,0.5343948402606405,1.0,0.7897349030401604,938.3603393285107,1362.8279054046684,0.0,0.4205301939196792,0.0,16,34,0.32,69.16301923486981,68.1077646217772,69.54249313207097,0.5356,0.46440000000000003,0.63496,24.328
9,50,0.9767448511571666,0.6514070176738831,0.9564347155435866,0.5193762300367767,1.0,0.8025825527246924,938.3603393285107,1338.5580621250215,0.0,0.3948348945506151,0.0,20,30,0.4,66.03923040912382,69.4709779904242,63.64041920417286,0.5338,0.4662,0.63308,24.244
10,50,0.940846121487044,0.6690967193869729,0.888808499035797,0.4844064880640245,1.0,0.8790437344805808,938.3603393285107,1406.6340757425858,0.0,0.3606538106827686,0.0,23,27,0.46,62.476794324897654,64.40517259128333,61.13326406381719,0.532,0.468,0.6312,24.16
11,50,0.9947971426922386,0.6755086180770911,1.0,0.5668389316586552,0.9889253782295416,0.7981494604335296,860.6564471419265,1393.3131196959275,0.025213,0.45954234461217036,0.0,20,30,0.4,62.8239576698795,64.6150225744907,61.43001404923235,0.5302,0.4698,0.62932,24.076
12,50,0.9946405530415038,0.6452620535023296,1.0,0.5192660821703732,0.9886356086545882,0.7864331121363538,860.6564471419265,1326.7008625317942,0.025213,0.4738187712868667,0.0,15,35,0.3,62.15879619597969,64.48644129764621,61.76163951266117,0.5284,0.4716,0.62744,23.991999999999997
